data_structure,version_id,seq_no,comp_no,table_id,modification,length_old,min_length,max_length,conf_length,req_opt
AD,2,1,27,0,,,,,,O
AD,2,2,28,0,,,,,,O
AD,2,3,29,0,,,,,,O
AD,2,4,30,0,,,,,,O
AD,2,5,31,0,,,,,,O
AD,2,6,32,0,,,,,,O
AD,2,7,33,0,,,,,,O
AD,2,8,34,0,,,,,,O
AD,3,1,27,0,O,,,,,O
AD,3,2,28,0,O,,,,,O
AD,3,3,29,0,O,,,,,O
AD,3,4,30,0,O,,,,,O
AD,3,5,31,0,O,,,,,
AD,3,6,32,0,O,,,,,
AD,3,7,202,0,O,,,,,
AD,3,8,34,0,O,,,,,
AD,4,1,27,0,O,,,,,
AD,4,2,28,0,O,,,,,
AD,4,3,29,0,O,,,,,
AD,4,4,30,0,O,,,,,
AD,4,5,31,0,O,,,,,
AD,4,6,32,0,O,,,,,
AD,4,7,202,0,O,,,,,
AD,4,8,34,0,O,,,,,
AD,5,1,27,0,O,,,,,
AD,5,2,28,0,O,,,,,
AD,5,3,29,0,O,,,,,
AD,5,4,30,0,O,,,,,
AD,5,5,31,0,O,,,,,
AD,5,6,32,0,O,,,,,
AD,5,7,202,0,O,,,,,
AD,5,8,34,0,O,,,,,
AD,6,1,1,0,O,120,,120,,O
AD,6,2,2,0,O,120,,120,,O
AD,6,3,3,0,O,50,,50,,O
AD,6,4,4,0,O,50,,50,,O
AD,6,5,5,0,O,12,,12,,O
AD,6,6,6,399,O,3,,3,,O
AD,6,7,7,190,O,3,,3,,O
AD,6,8,8,0,O,50,,50,,O
AD,7,1,1,0,O,120,,120,,O
AD,7,2,2,0,O,120,,120,,O
AD,7,3,3,0,O,50,,50,,O
AD,7,4,4,0,O,50,,50,,O
AD,7,5,5,0,O,12,,12,,O
AD,7,6,6,399,O,3,,3,,O
AD,7,7,7,190,O,3,,3,,O
AD,7,8,8,0,O,50,,50,,O
AD,8,1,484,0,O,,,,120#,O
AD,8,2,485,0,O,,,,120#,O
AD,8,3,486,0,O,,,,50#,O
AD,8,4,487,0,O,,,,50#,O
AD,8,5,488,0,O,,,,12=,O
AD,8,6,489,399,O,3..3,3,3,,O
AD,8,7,490,190,O,1..3,1,3,,O
AD,8,8,491,0,O,,,,50#,O
AD,9,1,1,0,O,,,,120#,O
AD,9,2,2,0,O,,,,120#,O
AD,9,3,3,0,O,,,,50#,O
AD,9,4,4,0,O,,,,50#,O
AD,9,5,5,0,O,,,,12=,O
AD,9,6,6,399,O,3..3,3,3,,O
AD,9,7,7,190,O,1..3,1,3,,O
AD,9,8,8,0,O,,,,50#,O
AD,61,1,1,0,O,120,,120,,O
AD,61,2,2,0,O,120,,120,,O
AD,61,3,3,0,O,50,,50,,O
AD,61,4,4,0,O,50,,50,,O
AD,61,5,5,0,O,12,,12,,O
AD,61,6,6,399,O,3,,3,,O
AD,61,7,7,190,O,3,,3,,O
AD,61,8,8,0,O,50,,50,,O
AD,81,1,1,0,O,,,,,O
AD,81,2,2,0,O,,,,,O
AD,81,3,3,0,O,,,,,O
AD,81,4,4,0,O,,,,,O
AD,81,5,5,0,O,,,,,O
AD,81,6,6,399,O,3..3,3,3,,O
AD,81,7,7,190,O,1..3,1,3,,O
AD,81,8,8,0,O,,,,,O
AD,91,1,1,0,O,,,,,O
AD,91,2,2,0,O,,,,,O
AD,91,3,3,0,O,,,,,O
AD,91,4,4,0,O,,,,,O
AD,91,5,5,0,O,,,,,O
AD,91,6,6,399,O,3..3,,,,O
AD,91,7,7,190,O,1..3,,,,O
AD,91,8,8,0,O,,,,,O
AD,92,1,463,0,O,,,,120#,O
AD,92,2,464,0,O,,,,120#,O
AD,92,3,465,0,O,,,,50#,O
AD,92,4,466,0,O,,,,50#,O
AD,92,5,467,0,O,,,,12=,O
AD,92,6,468,399,O,3..3,3,3,,O
AD,92,7,469,190,O,1..3,1,3,,O
AD,92,8,470,0,O,,,,50#,O
AUI,4,1,97,0,O,,,,,O
AUI,4,2,117,0,O,,,,,O
AUI,4,3,99,0,O,,,,,O
AUI,5,1,97,0,O,,,,,O
AUI,5,2,442,0,O,,,,,O
AUI,5,3,99,0,O,,,,,O
AUI,6,1,9,0,O,30,,30,,O
AUI,6,2,10,0,O,8,,8,,O
AUI,6,3,11,0,O,199,,199,,O
AUI,7,1,9,0,O,30,,30,,O
AUI,7,2,10,0,O,8,,8,,O
AUI,7,3,11,0,O,199,,199,,O
AUI,8,1,492,0,O,,,,30=,O
AUI,8,2,493,0,O,,,,,O
AUI,8,3,494,0,O,,,,199#,O
AUI,9,1,9,0,O,,,,30=,O
AUI,9,2,10,0,O,,,,,O
AUI,9,3,11,0,O,,,,199#,O
AUI,61,1,9,0,O,30,,30,,O
AUI,61,2,10,0,O,8,,8,,O
AUI,61,3,11,0,O,199,,199,,O
AUI,81,1,9,0,O,,,,,O
AUI,81,2,10,0,O,,,,,O
AUI,81,3,11,0,O,,,,,O
AUI,91,1,9,0,O,,,,,O
AUI,91,2,10,0,O,,,,,O
