data_structure,version_id,seq_no,comp_no,table_id,modification,length_old,min_length,max_length,conf_length,req_opt
AUI,91,3,11,0,O,,,,,O
AUI,92,1,471,0,O,,,,30=,O
AUI,92,2,472,0,O,,,,,O
AUI,92,3,473,0,O,,,,199#,O
CCD,4,1,212,0,O,,,,,O
CCD,4,2,78,0,O,,,,,O
CCD,5,1,212,0,O,,,,,O
CCD,5,2,78,0,O,,,,,O
CCD,6,1,12,100,O,1,,1,,R
CCD,6,2,13,0,O,26,,26,,O
CCD,7,1,12,100,O,1,,1,,R
CCD,7,2,13,0,O,24,,24,,O
CCD,8,1,495,100,O,1..1,1,1,,R
CCD,8,2,496,0,O,,,,,O
CCD,9,1,12,100,O,1..1,1,1,,R
CCD,9,2,13,0,O,,,,,O
CCD,61,1,12,100,O,1,,1,,R
CCD,61,2,13,0,O,26,,26,,O
CCD,81,1,12,100,O,1..1,1,1,,R
CCD,81,2,13,0,O,,,,,O
CCD,91,1,12,100,O,1..1,,,,R
CCD,91,2,13,0,O,,,,,O
CCD,92,1,474,100,O,1..1,1,1,,R
CCD,92,2,475,0,O,,,,,O
CCP,4,1,372,0,O,,,,,O
CCP,4,2,378,0,O,,,,,O
CCP,4,3,379,0,O,,,,,O
CCP,5,1,372,0,O,,,,,O
CCP,5,2,378,0,O,,,,,O
CCP,5,3,379,0,O,,,,,O
CCP,6,1,14,0,O,6,,6,,O
CCP,6,2,15,0,O,6,,6,,O
CCP,6,3,16,0,O,6,,6,,O
CCP,7,1,14,0,O,6,,6,,O
CCP,7,2,15,0,O,6,,6,,O
CCP,7,3,16,0,O,6,,6,,O
CCP,8,1,497,0,O,,,,6#,O
CCP,8,2,498,0,O,,,,6#,O
CCP,8,3,499,0,O,,,,6#,O
CCP,9,1,14,0,O,,,,6#,O
CCP,9,2,15,0,O,,,,6#,O
CCP,9,3,16,0,O,,,,6#,O
CCP,61,1,14,0,O,6,,6,,O
CCP,61,2,15,0,O,6,,6,,O
CCP,61,3,16,0,O,6,,6,,O
CCP,81,1,14,0,O,,,,,O
CCP,81,2,15,0,O,,,,,O
CCP,81,3,16,0,O,,,,,O
CCP,91,1,14,0,O,,,,,O
CCP,91,2,15,0,O,,,,,O
CCP,91,3,16,0,O,,,,,O
CCP,92,1,476,0,O,,,,6#,O
CCP,92,2,477,0,O,,,,6#,O
CCP,92,3,478,0,O,,,,6#,O
CD,3,1,332,0,O,,,,,O
CD,3,2,333,0,O,,,,,O
CD,3,3,334,0,O,,,,,O
CD,3,4,335,0,O,,,,,
CD,3,5,336,0,O,,,,,
CD,3,6,337,0,O,,,,,
CD,4,1,332,0,O,,,,,
CD,4,2,333,0,O,,,,,
CD,4,3,334,0,O,,,,,
CD,4,4,335,0,O,,,,,
CD,4,5,336,0,O,,,,,
CD,4,6,337,0,O,,,,,
CD,5,1,332,0,O,,,,,
CD,5,2,369,0,O,,,,,
CD,5,3,334,0,O,,,,,
CD,5,4,376,0,O,,,,,
CD,5,5,377,0,O,,,,,
CD,5,6,374,0,O,,,,,
CD,6,1,17,0,O,22,,22,,O
CD,6,2,18,0,O,17,,17,,O
CD,6,3,19,0,O,478,,478,,O
CD,6,4,20,0,O,20,,20,,O
CD,6,5,21,0,O,6,,6,,O
CD,6,6,22,0,O,33,,33,,O
CD,7,1,17,0,O,22,,22,,O
CD,7,2,18,0,O,17,,17,,O
CD,7,3,19,0,O,478,,478,,O
CD,7,4,20,0,O,20,,20,,O
CD,7,5,21,0,O,6,,6,,O
CD,7,6,22,0,O,33,,33,,O
CD,8,1,500,0,O,,,,,O
CD,8,2,501,0,O,,,,,O
CD,8,3,502,0,O,,,,,O
CD,8,4,503,0,O,,,,,O
CD,8,5,504,0,O,,,,6#,O
CD,8,6,505,0,O,,,,,O
CD,9,1,17,0,O,,,,,O
CD,9,2,18,0,O,,,,,O
CD,9,3,19,0,O,,,,,O
CD,9,4,20,0,O,,,,,O
CD,9,5,21,0,O,,,,6#,O
CD,9,6,22,0,O,,,,,O
CD,61,1,17,0,O,22,,22,,O
CD,61,2,18,0,O,17,,17,,O
CD,61,3,19,0,O,478,,478,,O
CD,61,4,20,0,O,20,,20,,O
CD,61,5,21,0,O,6,,6,,O
CD,61,6,22,0,O,33,,33,,O
CD,81,1,17,0,O,,,,,O
CD,81,2,18,0,O,,,,,O
CD,81,3,19,0,O,,,,,O
CD,81,4,20,0,O,,,,,O
CD,81,5,21,0,O,,,,,O
CD,81,6,22,0,O,,,,,O
CD,91,1,17,0,O,,,,,O
CD,91,2,18,0,O,,,,,O
CD,91,3,19,0,O,,,,,O
CD,91,4,20,0,O,,,,,O
CD,91,5,21,0,O,,,,,O
CD,91,6,22,0,O,,,,,O
CD,92,1,479,0,O,,,,,O
CD,92,2,480,0,O,,,,,O
CD,92,3,481,0,O,,,,,O
CD,92,4,482,0,O,,,,,O
CD,92,5,483,0,O,,,,6#,O
CD,92,6,484,0,O,,,,,O
CE,1,1,144,0,O,,,,,
CE,1,2,145,0,O,,,,,
CE,1,3,146,0,O,,,,,
CE,1,4,147,0,O,,,,,
CE,1,5,148,0,O,,,,,
CE,1,6,149,0,O,,,,,
CE,2,1,3,0,,,,,,
CE,2,2,4,0,,,,,,
CE,2,3,5,0,,,,,,
CE,2,4,6,0,,,,,,
CE,2,5,7,0,,,,,,
CE,2,6,8,0,,,,,,
CE,3,1,3,0,O,,,,,
CE,3,2,4,0,O,,,,,
CE,3,3,5,0,O,,,,,
CE,3,4,6,0,O,,,,,
CE,3,5,7,0,O,,,,,
CE,3,6,8,0,O,,,,,
CE,4,1,3,0,O,,,,,
CE,4,2,4,0,O,,,,,
CE,4,3,5,0,O,,,,,
CE,4,4,6,0,O,,,,,
CE,4,5,7,0,O,,,,,
CE,4,6,8,0,O,,,,,
CE,5,1,391,0,O,,,,,
CE,5,2,4,0,O,,,,,
CE,5,3,5,0,O,,,,,
CE,5,4,6,0,O,,,,,
CE,5,5,7,0,O,,,,,
CE,5,6,8,0,O,,,,,
CE,6,1,23,0,O,20,,20,,O
CE,6,2,24,0,O,199,,199,,O
CE,6,3,25,396,O,20,,20,,O
CE,6,4,26,0,O,20,,20,,O
CE,6,5,27,0,O,199,,199,,O
CE,6,6,28,396,O,20,,20,,O
CE,7,1,23,0,O,0,,0,,W
CE,7,2,24,0,O,0,,0,,W
CE,7,3,25,0,O,0,,0,,W
CE,7,4,26,0,O,0,,0,,W
CE,7,5,27,0,O,0,,0,,W
CE,7,6,28,0,O,0,,0,,W
CE,61,1,23,0,O,20,,20,,O
CE,61,2,24,0,O,199,,199,,O
CE,61,3,25,396,O,20,,20,,O
CE,61,4,26,0,O,20,,20,,O
CE,61,5,27,0,O,199,,199,,O
CE,61,6,28,396,O,20,,20,,O
CE_0002,4,1,3,2,O,,,,,
CE_0002,4,2,4,0,O,,,,,
CE_0002,4,3,5,0,O,,,,,
CE_0002,4,4,6,0,O,,,,,
CE_0002,4,5,7,0,O,,,,,
CE_0002,4,6,8,0,O,,,,,
CE_0002,5,1,391,2,O,,,,,
CE_0002,5,2,4,0,O,,,,,
CE_0002,5,3,5,0,O,,,,,
CE_0002,5,4,6,0,O,,,,,
CE_0002,5,5,7,0,O,,,,,
CE_0002,5,6,8,0,O,,,,,
CE_0005,4,1,3,5,O,,,,,
CE_0005,4,2,4,0,O,,,,,
CE_0005,4,3,5,0,O,,,,,
CE_0005,4,4,6,0,O,,,,,
CE_0005,4,5,7,0,O,,,,,
CE_0005,4,6,8,0,O,,,,,
CE_0005,5,1,391,5,O,,,,,
CE_0005,5,2,4,0,O,,,,,
CE_0005,5,3,5,0,O,,,,,
CE_0005,5,4,6,0,O,,,,,O
CE_0005,5,5,7,0,O,,,,,O
CE_0005,5,6,8,0,O,,,,,O
CE_0006,4,1,3,6,O,,,,,O
CE_0006,4,2,4,0,O,,,,,O
CE_0006,4,3,5,0,O,,,,,O
CE_0006,4,4,6,0,O,,,,,O
CE_0006,4,5,7,0,O,,,,,O
CE_0006,4,6,8,0,O,,,,,O
CE_0006,5,1,391,6,O,,,,,O
CE_0006,5,2,4,0,O,,,,,O
CE_0006,5,3,5,0,O,,,,,O
CE_0006,5,4,6,0,O,,,,,O
CE_0006,5,5,7,0,O,,,,,O
CE_0006,5,6,8,0,O,,,,,O
CE_0048,3,1,3,48,O,,,,,O
CE_0048,3,2,4,0,O,,,,,O
CE_0048,3,3,5,0,O,,,,,O
CE_0048,3,4,6,0,O,,,,,O
CE_0048,3,5,7,0,O,,,,,O
CE_0048,3,6,8,0,O,,,,,
CE_0048,4,1,3,48,O,,,,,
CE_0048,4,2,4,0,O,,,,,
CE_0048,4,3,5,0,O,,,,,
CE_0048,4,4,6,0,O,,,,,
CE_0048,4,5,7,0,O,,,,,
CE_0048,4,6,8,0,O,,,,,
CE_0048,5,1,391,48,O,,,,,
CE_0048,5,2,4,0,O,,,,,
CE_0048,5,3,5,0,O,,,,,
CE_0048,5,4,6,0,O,,,,,
CE_0048,5,5,7,0,O,,,,,
CE_0048,5,6,8,0,O,,,,,
CE_0049,2,1,3,49,,,,,,
CE_0049,2,2,4,0,,,,,,
CE_0049,2,3,5,0,,,,,,
CE_0049,2,4,6,0,,,,,,
CE_0049,2,5,7,0,,,,,,
CE_0049,2,6,8,0,,,,,,
CE_0049,3,1,3,49,O,,,,,
CE_0049,3,2,4,0,O,,,,,
CE_0049,3,3,5,0,O,,,,,
CE_0049,3,4,6,0,O,,,,,
CE_0049,3,5,7,0,O,,,,,
CE_0049,3,6,8,0,O,,,,,
CE_0049,4,1,3,49,O,,,,,
CE_0049,4,2,4,0,O,,,,,
CE_0049,4,3,5,0,O,,,,,
CE_0049,4,4,6,0,O,,,,,
CE_0049,4,5,7,0,O,,,,,
CE_0049,4,6,8,0,O,,,,,
CE_0049,5,1,391,49,O,,,,,
CE_0049,5,2,4,0,O,,,,,
CE_0049,5,3,5,0,O,,,,,
CE_0049,5,4,6,0,O,,,,,
CE_0049,5,5,7,0,O,,,,,
CE_0049,5,6,8,0,O,,,,,
CE_0050,3,1,3,50,O,,,,,
CE_0050,3,2,4,0,O,,,,,
CE_0050,3,3,5,0,O,,,,,
CE_0050,3,4,6,0,O,,,,,
CE_0050,3,5,7,0,O,,,,,
CE_0050,3,6,8,0,O,,,,,
CE_0050,4,1,3,50,O,,,,,
CE_0050,4,2,4,0,O,,,,,
CE_0050,4,3,5,0,O,,,,,
CE_0050,4,4,6,0,O,,,,,
CE_0050,4,5,7,0,O,,,,,
CE_0050,4,6,8,0,O,,,,,
CE_0050,5,1,391,50,O,,,,,
CE_0050,5,2,4,0,O,,,,,
CE_0050,5,3,5,0,O,,,,,
CE_0050,5,4,6,0,O,,,,,
CE_0050,5,5,7,0,O,,,,,
CE_0050,5,6,8,0,O,,,,,
CE_0051,2,1,3,51,,,,,,
CE_0051,2,2,4,0,,,,,,
CE_0051,2,3,5,0,,,,,,
CE_0051,2,4,6,0,,,,,,
CE_0051,2,5,7,0,,,,,,
CE_0051,2,6,8,0,,,,,,
CE_0051,3,1,3,51,O,,,,,
CE_0051,3,2,4,0,O,,,,,
CE_0051,3,3,5,0,O,,,,,
CE_0051,3,4,6,0,O,,,,,
CE_0051,3,5,7,0,O,,,,,
CE_0051,3,6,8,0,O,,,,,
CE_0051,4,1,3,51,O,,,,,
CE_0051,4,2,4,0,O,,,,,
CE_0051,4,3,5,0,O,,,,,
CE_0051,4,4,6,0,O,,,,,
CE_0051,4,5,7,0,O,,,,,
CE_0051,4,6,8,0,O,,,,,
CE_0051,5,1,391,51,O,,,,,
CE_0051,5,2,4,0,O,,,,,
CE_0051,5,3,5,0,O,,,,,
CE_0051,5,4,6,0,O,,,,,
CE_0051,5,5,7,0,O,,,,,
CE_0051,5,6,8,0,O,,,,,
CE_0055,3,1,3,55,O,,,,,
CE_0055,3,2,4,0,O,,,,,
CE_0055,3,3,5,0,O,,,,,
CE_0055,3,4,6,0,O,,,,,
CE_0055,3,5,7,0,O,,,,,
CE_0055,3,6,8,0,O,,,,,
CE_0055,4,1,3,55,O,,,,,
CE_0055,4,2,4,0,O,,,,,
CE_0055,4,3,5,0,O,,,,,
CE_0055,4,4,6,0,O,,,,,
CE_0055,4,5,7,0,O,,,,,
CE_0055,4,6,8,0,O,,,,,
CE_0055,5,1,391,55,O,,,,,
CE_0055,5,2,4,0,O,,,,,
CE_0055,5,3,5,0,O,,,,,
CE_0055,5,4,6,0,O,,,,,
CE_0055,5,5,7,0,O,,,,,
CE_0055,5,6,8,0,O,,,,,
CE_0059,3,1,3,59,O,,,,,
CE_0059,3,2,4,0,O,,,,,
CE_0059,3,3,5,0,O,,,,,
CE_0059,3,4,6,0,O,,,,,
CE_0059,3,5,7,0,O,,,,,
CE_0059,3,6,8,0,O,,,,,
CE_0059,4,1,3,59,O,,,,,
CE_0059,4,2,4,0,O,,,,,
CE_0059,4,3,5,0,O,,,,,
CE_0059,4,4,6,0,O,,,,,
CE_0059,4,5,7,0,O,,,,,
CE_0059,4,6,8,0,O,,,,,
CE_0059,5,1,391,59,O,,,,,
CE_0059,5,2,4,0,O,,,,,
CE_0059,5,3,5,0,O,,,,,
CE_0059,5,4,6,0,O,,,,,
CE_0059,5,5,7,0,O,,,,,
CE_0059,5,6,8,0,O,,,,,
CE_0063,2,1,3,63,,,,,,
CE_0063,2,2,4,0,,,,,,
CE_0063,2,3,5,0,,,,,,
CE_0063,2,4,6,0,,,,,,
CE_0063,2,5,7,0,,,,,,
CE_0063,2,6,8,0,,,,,,
CE_0063,3,1,3,63,O,,,,,
CE_0063,3,2,4,0,O,,,,,
CE_0063,3,3,5,0,O,,,,,
CE_0063,3,4,6,0,O,,,,,
CE_0063,3,5,7,0,O,,,,,
CE_0063,3,6,8,0,O,,,,,
CE_0063,4,1,3,63,O,,,,,
CE_0063,4,2,4,0,O,,,,,
CE_0063,4,3,5,0,O,,,,,
CE_0063,4,4,6,0,O,,,,,
CE_0063,4,5,7,0,O,,,,,
CE_0063,4,6,8,0,O,,,,,
CE_0063,5,1,391,63,O,,,,,
CE_0063,5,2,4,0,O,,,,,
CE_0063,5,3,5,0,O,,,,,
CE_0063,5,4,6,0,O,,,,,
CE_0063,5,5,7,0,O,,,,,
CE_0063,5,6,8,0,O,,,,,
CE_0066,2,1,3,66,,,,,,
CE_0066,2,2,4,0,,,,,,
CE_0066,2,3,5,0,,,,,,
CE_0066,2,4,6,0,,,,,,
CE_0066,2,5,7,0,,,,,,
CE_0066,2,6,8,0,,,,,,
CE_0066,3,1,3,66,O,,,,,
CE_0066,3,2,4,0,O,,,,,
CE_0066,3,3,5,0,O,,,,,
CE_0066,3,4,6,0,O,,,,,
CE_0066,3,5,7,0,O,,,,,
CE_0066,3,6,8,0,O,,,,,
CE_0066,4,1,3,66,O,,,,,
CE_0066,4,2,4,0,O,,,,,
CE_0066,4,3,5,0,O,,,,,
CE_0066,4,4,6,0,O,,,,,
CE_0066,4,5,7,0,O,,,,,
CE_0066,4,6,8,0,O,,,,,
CE_0066,5,1,391,66,O,,,,,
CE_0066,5,2,4,0,O,,,,,
CE_0066,5,3,5,0,O,,,,,
CE_0066,5,4,6,0,O,,,,,
CE_0066,5,5,7,0,O,,,,,
CE_0066,5,6,8,0,O,,,,,
CE_0069,4,1,3,69,O,,,,,
CE_0069,4,2,4,0,O,,,,,
CE_0069,4,3,5,0,O,,,,,
CE_0069,4,4,6,0,O,,,,,
CE_0069,4,5,7,0,O,,,,,
CE_0069,4,6,8,0,O,,,,,
CE_0069,5,1,391,69,O,,,,,
CE_0069,5,2,4,0,O,,,,,
CE_0069,5,3,5,0,O,,,,,
CE_0069,5,4,6,0,O,,,,,
CE_0069,5,5,7,0,O,,,,,
CE_0069,5,6,8,0,O,,,,,
CE_0070,3,1,3,70,O,,,,,
CE_0070,3,2,4,0,O,,,,,
CE_0070,3,3,5,0,O,,,,,
CE_0070,3,4,6,0,O,,,,,
CE_0070,3,5,7,0,O,,,,,
CE_0070,3,6,8,0,O,,,,,
CE_0070,5,1,391,70,O,,,,,
CE_0070,5,2,4,0,O,,,,,
CE_0070,5,3,5,0,O,,,,,
CE_0070,5,4,6,0,O,,,,,
CE_0070,5,5,7,0,O,,,,,
CE_0070,5,6,8,0,O,,,,,
CE_0072,3,1,3,72,O,,,,,
CE_0072,3,2,4,0,O,,,,,
CE_0072,3,3,5,0,O,,,,,
CE_0072,3,4,6,0,O,,,,,
CE_0072,3,5,7,0,O,,,,,
CE_0072,3,6,8,0,O,,,,,
CE_0072,4,1,3,72,O,,,,,
CE_0072,4,2,4,0,O,,,,,
CE_0072,4,3,5,0,O,,,,,
CE_0072,4,4,6,0,O,,,,,
CE_0072,4,5,7,0,O,,,,,
CE_0072,4,6,8,0,O,,,,,
CE_0072,5,1,391,72,O,,,,,
CE_0072,5,2,4,0,O,,,,,
CE_0072,5,3,5,0,O,,,,,
CE_0072,5,4,6,0,O,,,,,
CE_0072,5,5,7,0,O,,,,,
CE_0072,5,6,8,0,O,,,,,
CE_0083,3,1,3,83,O,,,,,
CE_0083,3,2,4,0,O,,,,,
CE_0083,3,3,5,0,O,,,,,
CE_0083,3,4,6,0,O,,,,,
CE_0083,3,5,7,0,O,,,,,
CE_0083,3,6,8,0,O,,,,,
CE_0083,4,1,3,83,O,,,,,
CE_0083,4,2,4,0,O,,,,,
CE_0083,4,3,5,0,O,,,,,
CE_0083,4,4,6,0,O,,,,,
CE_0083,4,5,7,0,O,,,,,
CE_0083,4,6,8,0,O,,,,,
CE_0083,5,1,391,83,O,,,,,
CE_0083,5,2,4,0,O,,,,,
CE_0083,5,3,5,0,O,,,,,
CE_0083,5,4,6,0,O,,,,,
CE_0083,5,5,7,0,O,,,,,
CE_0083,5,6,8,0,O,,,,,
CE_0088,3,1,3,88,O,,,,,
CE_0088,3,2,4,0,O,,,,,
CE_0088,3,3,5,0,O,,,,,
CE_0088,3,4,6,0,O,,,,,
CE_0088,3,5,7,0,O,,,,,
CE_0088,3,6,8,0,O,,,,,
CE_0088,4,1,3,88,O,,,,,
CE_0088,4,2,4,0,O,,,,,
CE_0088,4,3,5,0,O,,,,,
CE_0088,4,4,6,0,O,,,,,
CE_0088,4,5,7,0,O,,,,,
CE_0088,4,6,8,0,O,,,,,
CE_0088,5,1,391,88,O,,,,,
CE_0088,5,2,4,0,O,,,,,
CE_0088,5,3,5,0,O,,,,,
CE_0088,5,4,6,0,O,,,,,
CE_0088,5,5,7,0,O,,,,,
CE_0088,5,6,8,0,O,,,,,
CE_0114,4,1,3,114,O,,,,,
CE_0114,4,2,4,0,O,,,,,
CE_0114,4,3,5,0,O,,,,,
CE_0114,4,4,6,0,O,,,,,
CE_0114,4,5,7,0,O,,,,,
CE_0114,4,6,8,0,O,,,,,
CE_0114,5,1,391,114,O,,,,,
CE_0114,5,2,4,0,O,,,,,
CE_0114,5,3,5,0,O,,,,,
CE_0114,5,4,6,0,O,,,,,
CE_0114,5,5,7,0,O,,,,,
CE_0114,5,6,8,0,O,,,,,
CE_0118,2,1,3,118,,,,,,
CE_0118,2,2,4,0,,,,,,
CE_0118,2,3,5,0,,,,,,
CE_0118,2,4,6,0,,,,,,
CE_0118,2,5,7,0,,,,,,
CE_0118,2,6,8,0,,,,,,
CE_0118,3,1,3,118,O,,,,,
CE_0118,3,2,4,0,O,,,,,
CE_0118,3,3,5,0,O,,,,,
CE_0118,3,4,6,0,O,,,,,
CE_0118,3,5,7,0,O,,,,,
CE_0118,3,6,8,0,O,,,,,
CE_0118,4,1,3,118,O,,,,,
CE_0118,4,2,4,0,O,,,,,
CE_0118,4,3,5,0,O,,,,,
CE_0118,4,4,6,0,O,,,,,
CE_0118,4,5,7,0,O,,,,,
CE_0118,4,6,8,0,O,,,,,
CE_0118,5,1,391,118,O,,,,,
CE_0118,5,2,4,0,O,,,,,
CE_0118,5,3,5,0,O,,,,,
CE_0118,5,4,6,0,O,,,,,
CE_0118,5,5,7,0,O,,,,,
CE_0118,5,6,8,0,O,,,,,
CE_0127,5,1,391,127,O,,,,,
CE_0127,5,2,4,0,O,,,,,
CE_0127,5,3,5,0,O,,,,,
CE_0127,5,4,6,0,O,,,,,
CE_0127,5,5,7,0,O,,,,,
CE_0127,5,6,8,0,O,,,,,
CE_0128,5,1,391,128,O,,,,,
CE_0128,5,2,4,0,O,,,,,
CE_0128,5,3,5,0,O,,,,,
CE_0128,5,4,6,0,O,,,,,
CE_0128,5,5,7,0,O,,,,,
CE_0128,5,6,8,0,O,,,,,
CE_0129,2,1,3,129,,,,,,
CE_0129,2,2,4,0,,,,,,
CE_0129,2,3,5,0,,,,,,
CE_0129,2,4,6,0,,,,,,
CE_0129,2,5,7,0,,,,,,
CE_0129,2,6,8,0,,,,,,
CE_0129,3,1,3,129,O,,,,,
CE_0129,3,2,4,0,O,,,,,
CE_0129,3,3,5,0,O,,,,,
CE_0129,3,4,6,0,O,,,,,
CE_0129,3,5,7,0,O,,,,,
CE_0129,3,6,8,0,O,,,,,
CE_0129,4,1,3,129,O,,,,,
CE_0129,4,2,4,0,O,,,,,
CE_0129,4,3,5,0,O,,,,,
CE_0129,4,4,6,0,O,,,,,
CE_0129,4,5,7,0,O,,,,,
CE_0129,4,6,8,0,O,,,,,
CE_0129,5,1,391,129,O,,,,,
CE_0129,5,2,4,0,O,,,,,
CE_0129,5,3,5,0,O,,,,,
CE_0129,5,4,6,0,O,,,,,
CE_0129,5,5,7,0,O,,,,,
CE_0129,5,6,8,0,O,,,,,
CE_0131,2,1,3,131,,,,,,
CE_0131,2,2,4,0,,,,,,
CE_0131,2,3,5,0,,,,,,
CE_0131,2,4,6,0,,,,,,
CE_0131,2,5,7,0,,,,,,
CE_0131,2,6,8,0,,,,,,
CE_0131,3,1,3,131,O,,,,,
CE_0131,3,2,4,0,O,,,,,
CE_0131,3,3,5,0,O,,,,,
CE_0131,3,4,6,0,O,,,,,
CE_0131,3,5,7,0,O,,,,,
CE_0131,3,6,8,0,O,,,,,
CE_0131,4,1,3,131,O,,,,,
CE_0131,4,2,4,0,O,,,,,
CE_0131,4,3,5,0,O,,,,,
CE_0131,4,4,6,0,O,,,,,
CE_0131,4,5,7,0,O,,,,,
CE_0131,4,6,8,0,O,,,,,
CE_0131,5,1,391,131,O,,,,,
CE_0131,5,2,4,0,O,,,,,
CE_0131,5,3,5,0,O,,,,,
CE_0131,5,4,6,0,O,,,,,
CE_0131,5,5,7,0,O,,,,,
CE_0131,5,6,8,0,O,,,,,
CE_0132,2,1,3,132,,,,,,
CE_0132,2,2,4,0,,,,,,
CE_0132,2,3,5,0,,,,,,
CE_0132,2,4,6,0,,,,,,
CE_0132,2,5,7,0,,,,,,
CE_0132,2,6,8,0,,,,,,
CE_0132,3,1,3,132,O,,,,,
CE_0132,3,2,4,0,O,,,,,
