message_structure,version_id,seq_no,seg_code,groupname,modification,repetitional,optional,status
ACK,4,1,MSH,,O,FALSE,FALSE,
ACK,4,2,MSA,,O,FALSE,FALSE,
ACK,4,3,ERR,,O,FALSE,TRUE,
ACK,5,1,MSH,,O,FALSE,FALSE,
ACK,5,2,MSA,,O,FALSE,FALSE,
ACK,5,4,ERR,,O,FALSE,TRUE,
ACK,6,1,MSH,,O,FALSE,FALSE,
ACK,6,2,SFT,,O,TRUE,TRUE,
ACK,6,3,MSA,,O,FALSE,FALSE,
ACK,6,4,ERR,,O,TRUE,TRUE,
ACK,7,1,MSH,,O,FALSE,FALSE,
ACK,7,2,SFT,,O,TRUE,TRUE,
ACK,7,3,UAC,,O,FALSE,TRUE,
ACK,7,4,MSA,,O,FALSE,FALSE,
ACK,7,5,ERR,,O,TRUE,TRUE,
ACK,8,1,MSH,,O,FALSE,FALSE,
ACK,8,2,SFT,,O,TRUE,TRUE,
ACK,8,3,UAC,,O,FALSE,TRUE,
ACK,8,4,MSA,,O,FALSE,FALSE,
ACK,9,1,MSH,,O,FALSE,FALSE,
ACK,9,2,SFT,,O,TRUE,TRUE,
ACK,9,3,UAC,,O,FALSE,TRUE,
ACK,9,4,MSA,,O,FALSE,FALSE,
ACK,9,5,ERR,,O,TRUE,TRUE,
ACK,61,1,MSH,,O,FALSE,FALSE,
ACK,61,2,SFT,,O,TRUE,TRUE,
ACK,61,3,MSA,,O,FALSE,FALSE,
ACK,61,4,ERR,,O,TRUE,TRUE,
ACK,81,1,MSH,,O,FALSE,FALSE,
ACK,81,2,SFT,,O,TRUE,TRUE,
ACK,81,3,UAC,,O,FALSE,TRUE,
ACK,81,4,MSA,,O,FALSE,FALSE,
ACK,81,5,ERR,,O,TRUE,TRUE,
ACK,91,1,MSH,,O,FALSE,FALSE,
ACK,91,2,SFT,,O,TRUE,TRUE,
ACK,91,3,UAC,,O,FALSE,TRUE,
ACK,91,4,MSA,,O,FALSE,FALSE,
ACK,91,5,ERR,,O,TRUE,TRUE,
ACK,92,1,MSH,,O,FALSE,FALSE,
ACK,92,2,SFT,,O,TRUE,TRUE,
ACK,92,3,UAC,,O,FALSE,TRUE,
ACK,92,4,MSA,,O,FALSE,FALSE,
ACK,92,5,ERR,,O,TRUE,TRUE,
ACK,540,1,MSH,,O,FALSE,FALSE,
ACK,540,2,MSA,,O,FALSE,FALSE,
ACK,540,3,ERR,,O,FALSE,TRUE,
ADR_A19,5,1,MSH,,O,FALSE,FALSE,
ADR_A19,5,2,MSA,,O,FALSE,FALSE,
ADR_A19,5,4,ERR,,O,FALSE,TRUE,
ADR_A19,5,7,QAK,,O,FALSE,TRUE,
ADR_A19,5,9,QRD,,O,FALSE,FALSE,
ADR_A19,5,11,QRF,,O,FALSE,TRUE,
ADR_A19,5,13,{,QUERY_RESPONSE,O,FALSE,FALSE,
ADR_A19,5,15,EVN,,O,FALSE,TRUE,
ADR_A19,5,17,PID,,O,FALSE,FALSE,
ADR_A19,5,19,PD1,,O,FALSE,TRUE,
ADR_A19,5,23,ROL,,O,TRUE,TRUE,
ADR_A19,5,28,NK1,,O,TRUE,TRUE,
ADR_A19,5,31,PV1,,O,FALSE,FALSE,
ADR_A19,5,33,PV2,,O,FALSE,TRUE,
ADR_A19,5,37,ROL,,O,TRUE,TRUE,
ADR_A19,5,42,DB1,,O,TRUE,TRUE,
ADR_A19,5,47,OBX,,O,TRUE,TRUE,
ADR_A19,5,52,AL1,,O,TRUE,TRUE,
ADR_A19,5,57,DG1,,O,TRUE,TRUE,
ADR_A19,5,61,DRG,,O,FALSE,TRUE,
ADR_A19,5,63,[{,PROCEDURE,O,FALSE,FALSE,
ADR_A19,5,65,PR1,,O,FALSE,FALSE,
ADR_A19,5,68,ROL,,O,TRUE,TRUE,
ADR_A19,5,72,}],PROCEDURE,O,FALSE,FALSE,
ADR_A19,5,75,GT1,,O,TRUE,TRUE,
ADR_A19,5,78,[{,INSURANCE,O,FALSE,FALSE,
ADR_A19,5,80,IN1,,O,FALSE,FALSE,
ADR_A19,5,82,IN2,,O,FALSE,TRUE,
ADR_A19,5,86,IN3,,O,TRUE,TRUE,
ADR_A19,5,91,ROL,,O,TRUE,TRUE,
ADR_A19,5,95,}],INSURANCE,O,FALSE,FALSE,
ADR_A19,5,97,ACC,,O,FALSE,TRUE,
ADR_A19,5,100,UB1,,O,FALSE,TRUE,
ADR_A19,5,103,UB2,,O,FALSE,TRUE,
ADR_A19,5,105,},QUERY_RESPONSE,O,FALSE,FALSE,
ADR_A19,5,107,DSC,,O,FALSE,TRUE,
ADR_A19,6,1,MSH,,O,FALSE,FALSE,
ADR_A19,6,2,SFT,,O,TRUE,TRUE,
ADR_A19,6,3,MSA,,O,FALSE,FALSE,
ADR_A19,6,4,ERR,,O,FALSE,TRUE,
ADR_A19,6,5,QAK,,O,FALSE,TRUE,
ADR_A19,6,6,QRD,,O,FALSE,FALSE,
ADR_A19,6,7,QRF,,O,FALSE,TRUE,
ADR_A19,6,8,{,QUERY_RESPONSE,O,FALSE,FALSE,
ADR_A19,6,9,EVN,,O,FALSE,TRUE,
ADR_A19,6,10,PID,,O,FALSE,FALSE,
ADR_A19,6,11,PD1,,O,FALSE,TRUE,
ADR_A19,6,12,ROL,,O,TRUE,TRUE,
ADR_A19,6,13,NK1,,O,TRUE,TRUE,
ADR_A19,6,14,PV1,,O,FALSE,FALSE,
ADR_A19,6,15,PV2,,O,FALSE,TRUE,
ADR_A19,6,16,ROL,,O,TRUE,TRUE,
ADR_A19,6,17,DB1,,O,TRUE,TRUE,
ADR_A19,6,18,OBX,,O,TRUE,TRUE,
ADR_A19,6,19,AL1,,O,TRUE,TRUE,
ADR_A19,6,20,DG1,,O,TRUE,TRUE,
ADR_A19,6,21,DRG,,O,FALSE,TRUE,
ADR_A19,6,22,[{,PROCEDURE,O,FALSE,FALSE,
ADR_A19,6,23,PR1,,O,FALSE,FALSE,
ADR_A19,6,24,ROL,,O,TRUE,TRUE,
ADR_A19,6,25,}],PROCEDURE,O,FALSE,FALSE,
ADR_A19,6,26,GT1,,O,TRUE,TRUE,
