event_code,version_id,seq_no,message_typ_snd,message_typ_return,message_structure_snd,message_structure_return,section
A19,4,1,QRY,ADR,QRY_A19,ADR_A19,3
A19,5,1,QRY,ADR,QRY_A19,ADR_A19,3
A19,6,1,QRY,ADR,QRY_A19,ADR_A19,3.3.19
A19,7,1,QRY,ADR,QRY_A19,ADR_A19,3.3.19
A19,61,1,QRY,ADR,QRY_A19,ADR_A19,3.3.19
A20,1,1,ADT,ACK,?,ACK,
A20,2,1,ADT,ACK,?,ACK,
A20,3,1,ADT,ACK,ADT_A20,ACK,
A20,4,1,ADT,ACK,ADT_A20,ACK,3
A20,5,1,ADT,ACK,ADT_A20,ACK,3
A20,6,1,ADT,ACK,ADT_A20,ACK,3.3.20
A20,7,1,ADT,ACK,ADT_A20,ACK,3.3.20
A20,8,1,ADT,ACK,ADT_A20,ACK,3.3.20
A20,9,1,ADT,ACK,ADT_A20,ACK,3.3.20
A20,61,1,ADT,ACK,ADT_A20,ACK,3.3.20
A20,81,1,ADT,ACK,ADT_A20,ACK,3.3.20
A20,91,1,ADT,ACK,ADT_A20,ACK,3.3.20
A20,92,1,ADT,ACK,ADT_A20,ACK,3.3.20
A21,1,1,ADT,ACK,?,ACK,
A21,2,1,ADT,ACK,?,ACK,
A21,3,1,ADT,ACK,ADT_A02,ACK,
A21,4,1,ADT,ACK,ADT_A02,ACK,
A21,5,1,ADT,ACK,ADT_A21,ACK,3
A21,6,1,ADT,ACK,ADT_A21,ACK,3.3.21
A21,7,1,ADT,ACK,ADT_A21,ACK,3.3.21
A21,8,1,ADT,ACK,ADT_A21,ACK,3.3.21
A21,9,1,ADT,ACK,ADT_A21,ACK,3.3.21
A21,61,1,ADT,ACK,ADT_A21,ACK,3.3.21
A21,81,1,ADT,ACK,ADT_A21,ACK,3.3.21
A21,91,1,ADT,ACK,ADT_A21,ACK,3.3.21
A21,92,1,ADT,ACK,ADT_A21,ACK,3.3.21
A22,1,1,ADT,ACK,?,ACK,
A22,2,1,ADT,ACK,?,ACK,
A22,3,1,ADT,ACK,ADT_A02,ACK,
A22,4,1,ADT,ACK,ADT_A02,ACK,
A22,5,1,ADT,ACK,ADT_A21,ACK,3
A22,6,1,ADT,ACK,ADT_A21,ACK,3.3.22
A22,7,1,ADT,ACK,ADT_A21,ACK,3.3.22
A22,8,1,ADT,ACK,ADT_A21,ACK,3.3.22
A22,9,1,ADT,ACK,ADT_A21,ACK,3.3.22
A22,61,1,ADT,ACK,ADT_A21,ACK,3.3.22
A22,81,1,ADT,ACK,ADT_A21,ACK,3.3.22
A22,91,1,ADT,ACK,ADT_A21,ACK,3.3.22
A22,92,1,ADT,ACK,ADT_A21,ACK,3.3.22
A23,1,1,ADT,ACK,?,ACK,
A23,2,1,ADT,ACK,?,ACK,
A23,3,1,ADT,ACK,ADT_A02,ACK,
A23,4,1,ADT,ACK,ADT_A02,ACK,
A23,5,1,ADT,ACK,ADT_A21,ACK,3
A23,6,1,ADT,ACK,ADT_A21,ACK,3.3.23
A23,7,1,ADT,ACK,ADT_A21,ACK,3.3.23
A23,8,1,ADT,ACK,ADT_A21,ACK,3.3.23
A23,9,1,ADT,ACK,ADT_A21,ACK,3.3.23
A23,61,1,ADT,ACK,ADT_A21,ACK,3.3.23
A23,81,1,ADT,ACK,ADT_A21,ACK,3.3.23
A23,91,1,ADT,ACK,ADT_A21,ACK,3.3.23
A23,92,1,ADT,ACK,ADT_A21,ACK,3.3.23
A24,1,1,ADT,ACK,?,ACK,
A24,2,1,ADT,ACK,?,ACK,
A24,3,1,ADT,ACK,ADT_A24,ACK,
A24,4,1,ADT,ACK,ADT_A24,ACK,3
A24,5,1,ADT,ACK,ADT_A24,ACK,3
A24,6,1,ADT,ACK,ADT_A24,ACK,3.3.24
A24,7,1,ADT,ACK,ADT_A24,ACK,3.3.24
A24,8,1,ADT,ACK,ADT_A24,ACK,3.3.24
A24,9,1,ADT,ACK,ADT_A24,ACK,3.3.24
A24,61,1,ADT,ACK,ADT_A24,ACK,3.3.24
A24,81,1,ADT,ACK,ADT_A24,ACK,3.3.24
A24,91,1,ADT,ACK,ADT_A24,ACK,3.3.24
A24,92,1,ADT,ACK,ADT_A24,ACK,3.3.24
A25,2,1,ADT,ACK,?,ACK,
A25,3,1,ADT,ACK,ADT_A02,ACK,
A25,4,1,ADT,ACK,ADT_A02,ACK,
A25,5,1,ADT,ACK,ADT_A21,ACK,3
A25,6,1,ADT,ACK,ADT_A21,ACK,3.3.25
A25,7,1,ADT,ACK,ADT_A21,ACK,3.3.25
A25,8,1,ADT,ACK,ADT_A21,ACK,3.3.25
A25,9,1,ADT,ACK,ADT_A21,ACK,3.3.25
A25,61,1,ADT,ACK,ADT_A21,ACK,3.3.25
A25,81,1,ADT,ACK,ADT_A21,ACK,3.3.25
A25,91,1,ADT,ACK,ADT_A21,ACK,3.3.25
A25,92,1,ADT,ACK,ADT_A21,ACK,3.3.25
A26,2,1,ADT,ACK,?,ACK,
A26,3,1,ADT,ACK,ADT_A02,ACK,
A26,4,1,ADT,ACK,ADT_A02,ACK,
A26,5,1,ADT,ACK,ADT_A21,ACK,3
A26,6,1,ADT,ACK,ADT_A21,ACK,3.3.26
A26,7,1,ADT,ACK,ADT_A21,ACK,3.3.26
A26,8,1,ADT,ACK,ADT_A21,ACK,3.3.26
A26,9,1,ADT,ACK,ADT_A21,ACK,3.3.26
A26,61,1,ADT,ACK,ADT_A21,ACK,3.3.26
A26,81,1,ADT,ACK,ADT_A21,ACK,3.3.26
A26,91,1,ADT,ACK,ADT_A21,ACK,3.3.26
A26,92,1,ADT,ACK,ADT_A21,ACK,3.3.26
A27,2,1,ADT,ACK,?,ACK,
A27,3,1,ADT,ACK,ADT_A02,ACK,
A27,4,1,ADT,ACK,ADT_A02,ACK,
A27,5,1,ADT,ACK,ADT_A21,ACK,3
A27,6,1,ADT,ACK,ADT_A21,ACK,3.3.27
A27,7,1,ADT,ACK,ADT_A21,ACK,3.3.27
A27,8,1,ADT,ACK,ADT_A21,ACK,3.3.27
A27,9,1,ADT,ACK,ADT_A21,ACK,3.3.27
A27,61,1,ADT,ACK,ADT_A21,ACK,3.3.27
A27,81,1,ADT,ACK,ADT_A21,ACK,3.3.27
A27,91,1,ADT,ACK,ADT_A21,ACK,3.3.27
A27,92,1,ADT,ACK,ADT_A21,ACK,3.3.27
A28,2,1,ADT,ACK,?,ACK,
A28,3,1,ADT,ACK,ADT_A01,ACK,
A28,4,1,ADT,ACK,ADT_A01,ACK,
A28,5,1,ADT,ACK,ADT_A05,ACK,3
A28,6,1,ADT,ACK,ADT_A05,ACK,3.3.28
A28,7,1,ADT,ACK,ADT_A05,ACK,3.3.28
A28,8,1,ADT,ACK,ADT_A05,ACK,3.3.28
A28,9,1,ADT,ACK,ADT_A05,ACK,3.3.28
A28,61,1,ADT,ACK,ADT_A05,ACK,3.3.28
A28,81,1,ADT,ACK,ADT_A05,ACK,3.3.28
A28,91,1,ADT,ACK,ADT_A05,ACK,3.3.28
A28,92,1,ADT,ACK,ADT_A05,ACK,3.3.28
A29,2,1,ADT,ACK,?,ACK,
A29,3,1,ADT,ACK,ADT_A02,ACK,
A29,4,1,ADT,ACK,ADT_A02,ACK,
A29,5,1,ADT,ACK,ADT_A21,ACK,3
A29,6,1,ADT,ACK,ADT_A21,ACK,3.3.29
A29,7,1,ADT,ACK,ADT_A21,ACK,3.3.29
A29,8,1,ADT,ACK,ADT_A21,ACK,3.3.29
A29,9,1,ADT,ACK,ADT_A21,ACK,3.3.29
A29,61,1,ADT,ACK,ADT_A21,ACK,3.3.29
A29,81,1,ADT,ACK,ADT_A21,ACK,3.3.29
A29,91,1,ADT,ACK,ADT_A21,ACK,3.3.29
A29,92,1,ADT,ACK,ADT_A21,ACK,3.3.29
A30,2,1,ADT,ACK,?,ACK,
A30,3,1,ADT,ACK,ADT_A30,ACK,
A30,4,1,ADT,ACK,ADT_A30,ACK,3
A30,5,1,ADT,ACK,ADT_A30,ACK,3
A30,6,1,ADT,ACK,ADT_A30,ACK,3.3.30
A30,7,1,ADT,ACK,ADT_A30,ACK,3.3.30
A30,61,1,ADT,ACK,ADT_A30,ACK,3.3.30
A31,2,1,ADT,ACK,?,ACK,
A31,3,1,ADT,ACK,ADT_A01,ACK,
A31,4,1,ADT,ACK,ADT_A01,ACK,
A31,5,1,ADT,ACK,ADT_A05,ACK,3
A31,6,1,ADT,ACK,ADT_A05,ACK,3.3.31
A31,7,1,ADT,ACK,ADT_A05,ACK,3.3.31
A31,8,1,ADT,ACK,ADT_A05,ACK,3.3.31
A31,9,1,ADT,ACK,ADT_A05,ACK,3.3.31
A31,61,1,ADT,ACK,ADT_A05,ACK,3.3.31
A31,81,1,ADT,ACK,ADT_A05,ACK,3.3.31
A31,91,1,ADT,ACK,ADT_A05,ACK,3.3.31
A31,92,1,ADT,ACK,ADT_A05,ACK,3.3.31
A32,2,1,ADT,ACK,?,ACK,
A32,3,1,ADT,ACK,ADT_A02,ACK,
A32,4,1,ADT,ACK,ADT_A02,ACK,
A32,5,1,ADT,ACK,ADT_A21,ACK,3
A32,6,1,ADT,ACK,ADT_A21,ACK,3.3.32
A32,7,1,ADT,ACK,ADT_A21,ACK,3.3.32
A32,8,1,ADT,ACK,ADT_A21,ACK,3.3.32
A32,9,1,ADT,ACK,ADT_A21,ACK,3.3.32
A32,61,1,ADT,ACK,ADT_A21,ACK,3.3.32
A32,81,1,ADT,ACK,ADT_A21,ACK,3.3.32
A32,91,1,ADT,ACK,ADT_A21,ACK,3.3.32
A32,92,1,ADT,ACK,ADT_A21,ACK,3.3.32
A33,2,1,ADT,ACK,?,ACK,
A33,3,1,ADT,ACK,ADT_A02,ACK,
A33,4,1,ADT,ACK,ADT_A02,ACK,
A33,5,1,ADT,ACK,ADT_A21,ACK,3
A33,6,1,ADT,ACK,ADT_A21,ACK,3.3.33
A33,7,1,ADT,ACK,ADT_A21,ACK,3.3.33
A33,8,1,ADT,ACK,ADT_A21,ACK,3.3.33
A33,9,1,ADT,ACK,ADT_A21,ACK,3.3.33
A33,61,1,ADT,ACK,ADT_A21,ACK,3.3.33
A33,81,1,ADT,ACK,ADT_A21,ACK,3.3.33
A33,91,1,ADT,ACK,ADT_A21,ACK,3.3.33
A33,92,1,ADT,ACK,ADT_A21,ACK,3.3.33
A34,2,1,ADT,ACK,?,ACK,
A34,3,1,ADT,ACK,ADT_A30,ACK,
A34,4,1,ADT,ACK,ADT_A30,ACK,
A34,5,1,ADT,ACK,ADT_A30,ACK,3
A34,6,1,ADT,ACK,ADT_A30,ACK,3.3.34
A34,7,1,ADT,ACK,ADT_A30,ACK,3.3.34
A34,61,1,ADT,ACK,ADT_A30,ACK,3.3.34
A35,2,1,ADT,ACK,?,ACK,
A35,3,1,ADT,ACK,ADT_A30,ACK,
A35,4,1,ADT,ACK,ADT_A30,ACK,
A35,5,1,ADT,ACK,ADT_A30,ACK,3
A35,6,1,ADT,ACK,ADT_A30,ACK,3.3.35
A35,7,1,ADT,ACK,ADT_A30,ACK,3.3.35
A35,61,1,ADT,ACK,ADT_A30,ACK,3.3.35
A36,2,1,ADT,ACK,?,ACK,
A36,3,1,ADT,ACK,ADT_A30,ACK,
A36,4,1,ADT,ACK,ADT_A30,ACK,
A36,5,1,ADT,ACK,ADT_A30,ACK,3
A36,6,1,ADT,ACK,ADT_A30,ACK,3.3.36
A36,7,1,ADT,ACK,ADT_A30,ACK,3.3.36
A36,61,1,ADT,ACK,ADT_A30,ACK,3.3.36
A37,2,1,ADT,ACK,?,ACK,
A37,3,1,ADT,ACK,ADT_A24,ACK,
A37,4,1,ADT,ACK,ADT_A24,ACK,3
A37,5,1,ADT,ACK,ADT_A37,ACK,3
A37,6,1,ADT,ACK,ADT_A37,ACK,3.3.37
A37,7,1,ADT,ACK,ADT_A37,ACK,3.3.37
A37,8,1,ADT,ACK,ADT_A37,ACK,3.3.37
A37,9,1,ADT,ACK,ADT_A37,ACK,3.3.37
A37,61,1,ADT,ACK,ADT_A37,ACK,3.3.37
A37,81,1,ADT,ACK,ADT_A37,ACK,3.3.37
A37,91,1,ADT,ACK,ADT_A37,ACK,3.3.37
A37,92,1,ADT,ACK,ADT_A37,ACK,3.3.37
A38,3,1,ADT,ACK,ADT_A38,ACK,
A38,4,1,ADT,ACK,ADT_A38,ACK,3
A38,5,1,ADT,ACK,ADT_A38,ACK,3
A38,6,1,ADT,ACK,ADT_A38,ACK,3.3.38
A38,7,1,ADT,ACK,ADT_A38,ACK,3.3.38
A38,8,1,ADT,ACK,ADT_A38,ACK,3.3.38
A38,9,1,ADT,ACK,ADT_A38,ACK,3.3.38
A38,61,1,ADT,ACK,ADT_A38,ACK,3.3.38
A38,81,1,ADT,ACK,ADT_A38,ACK,3.3.38
A38,91,1,ADT,ACK,ADT_A38,ACK,3.3.38
A38,92,1,ADT,ACK,ADT_A38,ACK,3.3.38
A39,3,1,ADT,ACK,ADT_A39,ACK,
A39,4,1,ADT,ACK,ADT_A39,ACK,3
A39,5,1,ADT,ACK,ADT_A39,ACK,3
A39,6,1,ADT,ACK,ADT_A39,ACK,3.3.39
A39,7,1,ADT,ACK,ADT_A39,ACK,3.3.39
A39,61,1,ADT,ACK,ADT_A39,ACK,3.3.39
A40,3,1,ADT,ACK,ADT_A39,ACK,
A40,4,1,ADT,ACK,ADT_A39,ACK,
A40,5,1,ADT,ACK,ADT_A39,ACK,3
A40,6,1,ADT,ACK,ADT_A39,ACK,3.3.40
A40,7,1,ADT,ACK,ADT_A39,ACK,3.3.40
A40,8,1,ADT,ACK,ADT_A39,ACK,3.3.40
A40,9,1,ADT,ACK,ADT_A39,ACK,3.3.40
A40,61,1,ADT,ACK,ADT_A39,ACK,3.3.40
A40,81,1,ADT,ACK,ADT_A39,ACK,3.3.40
A40,91,1,ADT,ACK,ADT_A39,ACK,3.3.40
A40,92,1,ADT,ACK,ADT_A39,ACK,3.3.40
