event_code,version_id,message_type,seq_no,seg_code,groupname,modification,repetitional,optional,status
A01,1,ACK,1,MSH,,O,FALSE,FALSE,
A01,1,ACK,2,MSA,,O,FALSE,FALSE,
A01,1,ACK,4,ERR,,O,FALSE,TRUE,
A01,1,ADT,1,MSH,,O,FALSE,FALSE,
A01,1,ADT,2,EVN,,O,FALSE,FALSE,
A01,1,ADT,3,PID,,O,FALSE,FALSE,
A01,1,ADT,4,NK1,,O,FALSE,FALSE,
A01,1,ADT,5,PV1,,O,FALSE,FALSE,
A01,1,ADT,7,DG1,,O,FALSE,TRUE,
A01,2,ACK,1,MSH,,O,FALSE,FALSE,
A01,2,ACK,2,MSA,,O,FALSE,FALSE,
A01,2,ACK,4,ERR,,O,FALSE,TRUE,
A01,2,ADT,1,MSH,,O,FALSE,FALSE,
A01,2,ADT,2,EVN,,O,FALSE,FALSE,
A01,2,ADT,3,PID,,O,FALSE,FALSE,
A01,2,ADT,6,NK1,,O,TRUE,TRUE,
A01,2,ADT,9,PV1,,O,FALSE,FALSE,
A01,2,ADT,11,PV2,,O,FALSE,TRUE,
A01,2,ADT,15,OBX,,O,TRUE,TRUE,
A01,2,ADT,20,AL1,,O,TRUE,TRUE,
A01,2,ADT,25,DG1,,O,TRUE,TRUE,
A01,2,ADT,30,PR1,,O,TRUE,TRUE,
A01,2,ADT,35,GT1,,O,TRUE,TRUE,
A01,2,ADT,38,[,INSURANCE,O,FALSE,FALSE,
A01,2,ADT,39,{,,O,FALSE,FALSE,
A01,2,ADT,40,IN1,,O,FALSE,FALSE,
A01,2,ADT,42,IN2,,O,FALSE,TRUE,
A01,2,ADT,45,IN3,,O,FALSE,TRUE,
A01,2,ADT,47,},,O,FALSE,FALSE,
A01,2,ADT,48,],,O,FALSE,FALSE,
A01,2,ADT,50,ACC,,O,FALSE,TRUE,
A01,2,ADT,53,UB1,,O,FALSE,TRUE,
A01,2,ADT,56,UB2,,O,FALSE,TRUE,
A01,3,ACK,1,MSH,,O,FALSE,FALSE,
A01,3,ACK,2,MSA,,O,FALSE,FALSE,
A01,3,ACK,4,ERR,,O,FALSE,TRUE,
A01,3,ADT,1,MSH,,O,FALSE,FALSE,
A01,3,ADT,2,EVN,,O,FALSE,FALSE,
A01,3,ADT,3,PID,,O,FALSE,FALSE,
A01,3,ADT,5,PD1,,O,FALSE,TRUE,
A01,3,ADT,9,NK1,,O,TRUE,TRUE,
A01,3,ADT,12,PV1,,O,FALSE,FALSE,
A01,3,ADT,14,PV2,,O,FALSE,TRUE,
A01,3,ADT,18,DB1,,O,TRUE,TRUE,
A01,3,ADT,23,OBX,,O,TRUE,TRUE,
A01,3,ADT,28,AL1,,O,TRUE,TRUE,
A01,3,ADT,33,DG1,,O,TRUE,TRUE,
A01,3,ADT,37,DRG,,O,FALSE,TRUE,
A01,3,ADT,39,[,PROCEDURE,O,FALSE,FALSE,
A01,3,ADT,40,{,,O,FALSE,FALSE,
A01,3,ADT,41,PR1,,O,FALSE,FALSE,
A01,3,ADT,44,ROL,,O,TRUE,TRUE,
A01,3,ADT,47,},,O,FALSE,FALSE,
A01,3,ADT,48,],PROCEDURE,O,FALSE,FALSE,
A01,3,ADT,51,GT1,,O,TRUE,TRUE,
A01,3,ADT,54,[,INSURANCE,O,FALSE,FALSE,
A01,3,ADT,55,{,,O,FALSE,FALSE,
A01,3,ADT,56,IN1,,O,FALSE,FALSE,
A01,3,ADT,58,IN2,,O,FALSE,TRUE,
A01,3,ADT,61,IN3,,O,FALSE,TRUE,
A01,3,ADT,63,},,O,FALSE,FALSE,
A01,3,ADT,64,],INSURANCE,O,FALSE,FALSE,
A01,3,ADT,66,ACC,,O,FALSE,TRUE,
A01,3,ADT,69,UB1,,O,FALSE,TRUE,
A01,3,ADT,72,UB2,,O,FALSE,TRUE,
A01,4,ACK,1,MSH,,O,FALSE,FALSE,
A01,4,ACK,2,MSA,,O,FALSE,FALSE,
A01,4,ACK,4,ERR,,O,FALSE,TRUE,
A01,4,ADT,1,MSH,,O,FALSE,FALSE,
A01,4,ADT,2,EVN,,O,FALSE,FALSE,
A01,4,ADT,3,PID,,O,FALSE,FALSE,
A01,4,ADT,5,PD1,,O,FALSE,TRUE,
A01,4,ADT,9,NK1,,O,TRUE,TRUE,
A01,4,ADT,12,PV1,,O,FALSE,FALSE,
A01,4,ADT,14,PV2,,O,FALSE,TRUE,
A01,4,ADT,18,DB1,,O,TRUE,TRUE,
A01,4,ADT,23,OBX,,O,TRUE,TRUE,
A01,4,ADT,28,AL1,,O,TRUE,TRUE,
A01,4,ADT,33,DG1,,O,TRUE,TRUE,
A01,4,ADT,37,DRG,,O,FALSE,TRUE,
A01,4,ADT,39,[,PROCEDURE,O,FALSE,FALSE,
A01,4,ADT,40,{,,O,FALSE,FALSE,
A01,4,ADT,41,PR1,,O,FALSE,FALSE,
A01,4,ADT,44,ROL,,O,TRUE,TRUE,
A01,4,ADT,47,},,O,FALSE,FALSE,
A01,4,ADT,48,],PROCEDURE,O,FALSE,FALSE,
A01,4,ADT,51,GT1,,O,TRUE,TRUE,
A01,4,ADT,54,[,INSURANCE,O,FALSE,FALSE,
A01,4,ADT,55,{,,O,FALSE,FALSE,
A01,4,ADT,56,IN1,,O,FALSE,FALSE,
A01,4,ADT,58,IN2,,O,FALSE,TRUE,
A01,4,ADT,62,IN3,,O,TRUE,TRUE,
A01,4,ADT,65,},,O,FALSE,FALSE,
A01,4,ADT,66,],INSURANCE,O,FALSE,FALSE,
A01,4,ADT,68,ACC,,O,FALSE,TRUE,
A01,4,ADT,71,UB1,,O,FALSE,TRUE,
A01,4,ADT,74,UB2,,O,FALSE,TRUE,
A01,32,ADT,1,MSH,,O,FALSE,FALSE,
A01,32,ADT,2,EVN,,O,FALSE,FALSE,
A01,32,ADT,3,PID,,O,FALSE,FALSE,
A01,32,ADT,4,NK1,,O,TRUE,TRUE,
A01,32,ADT,5,PV1,,O,FALSE,FALSE,
A01,32,ADT,6,PV2,,O,FALSE,TRUE,
A01,32,ADT,7,DG1,,O,TRUE,TRUE,
A01,32,ADT,8,[{,INSURANCE,O,TRUE,TRUE,
A01,32,ADT,9,IN1,,O,FALSE,FALSE,
A01,32,ADT,10,IN2,,O,FALSE,TRUE,
A01,32,ADT,11,}],INSURANCE,O,FALSE,FALSE,
A01,32,ADT,12,ACC,,O,FALSE,TRUE,
A01,32,ADT,13,ZBE,,O,FALSE,TRUE,
A01,32,ADT,14,ZNG,,O,FALSE,TRUE,
A02,1,ACK,1,MSH,,O,FALSE,FALSE,
A02,1,ACK,2,MSA,,O,FALSE,FALSE,
A02,1,ACK,4,ERR,,O,FALSE,TRUE,
A02,1,ADT,1,MSH,,O,FALSE,FALSE,
A02,1,ADT,2,EVN,,O,FALSE,FALSE,
A02,1,ADT,3,PID,,O,FALSE,FALSE,
A02,1,ADT,4,PV1,,O,FALSE,FALSE,
A02,2,ACK,1,MSH,,O,FALSE,FALSE,
A02,2,ACK,2,MSA,,O,FALSE,FALSE,
A02,2,ACK,4,ERR,,O,FALSE,TRUE,
A02,2,ADT,1,MSH,,O,FALSE,FALSE,
A02,2,ADT,2,EVN,,O,FALSE,FALSE,
A02,2,ADT,3,PID,,O,FALSE,FALSE,
A02,2,ADT,4,PV1,,O,FALSE,FALSE,
A02,2,ADT,6,PV2,,O,FALSE,TRUE,
A02,2,ADT,10,OBX,,O,TRUE,TRUE,
A02,3,ACK,1,MSH,,O,FALSE,FALSE,
A02,3,ACK,2,MSA,,O,FALSE,FALSE,
A02,3,ACK,4,ERR,,O,FALSE,TRUE,
A02,3,ADT,1,MSH,,O,FALSE,FALSE,
A02,3,ADT,2,EVN,,O,FALSE,FALSE,
A02,3,ADT,3,PID,,O,FALSE,FALSE,
A02,3,ADT,5,PD1,,O,FALSE,TRUE,
A02,3,ADT,7,PV1,,O,FALSE,FALSE,
A02,3,ADT,9,PV2,,O,FALSE,TRUE,
A02,3,ADT,13,DB1,,O,TRUE,TRUE,
A02,3,ADT,18,OBX,,O,TRUE,TRUE,
A02,4,ACK,1,MSH,,O,FALSE,FALSE,
A02,4,ACK,2,MSA,,O,FALSE,FALSE,
A02,4,ACK,4,ERR,,O,FALSE,TRUE,
A02,4,ADT,1,MSH,,O,FALSE,FALSE,
A02,4,ADT,2,EVN,,O,FALSE,FALSE,
A02,4,ADT,3,PID,,O,FALSE,FALSE,
A02,4,ADT,5,PD1,,O,FALSE,TRUE,
A02,4,ADT,7,PV1,,O,FALSE,FALSE,
