event_code,version_id,message_type,seq_no,seg_code,groupname,modification,repetitional,optional,status
A02,4,ADT,9,PV2,,O,FALSE,TRUE,
A02,4,ADT,13,DB1,,O,TRUE,TRUE,
A02,4,ADT,18,OBX,,O,TRUE,TRUE,
A02,32,ADT,1,MSH,,O,FALSE,FALSE,
A02,32,ADT,2,EVN,,O,FALSE,FALSE,
A02,32,ADT,3,PID,,O,FALSE,FALSE,
A02,32,ADT,4,PV1,,O,FALSE,FALSE,
A02,32,ADT,5,PV2,,O,FALSE,TRUE,
A02,32,ADT,6,ZNG,,O,FALSE,TRUE,
A02,32,ADT,7,ZBE,,O,FALSE,TRUE,
A03,1,ACK,1,MSH,,O,FALSE,FALSE,
A03,1,ACK,2,MSA,,O,FALSE,FALSE,
A03,1,ACK,4,ERR,,O,FALSE,TRUE,
A03,1,ADT,1,MSH,,O,FALSE,FALSE,
A03,1,ADT,2,EVN,,O,FALSE,FALSE,
A03,1,ADT,3,PID,,O,FALSE,FALSE,
A03,1,ADT,4,PV1,,O,FALSE,FALSE,
A03,2,ACK,1,MSH,,O,FALSE,FALSE,
A03,2,ACK,2,MSA,,O,FALSE,FALSE,
A03,2,ACK,4,ERR,,O,FALSE,TRUE,
A03,2,ADT,1,MSH,,O,FALSE,FALSE,
A03,2,ADT,2,EVN,,O,FALSE,FALSE,
A03,2,ADT,3,PID,,O,FALSE,FALSE,
A03,2,ADT,4,PV1,,O,FALSE,FALSE,
A03,2,ADT,6,PV2,,O,FALSE,TRUE,
A03,2,ADT,10,OBX,,O,TRUE,TRUE,
A03,3,ACK,1,MSH,,O,FALSE,FALSE,
A03,3,ACK,2,MSA,,O,FALSE,FALSE,
A03,3,ACK,4,ERR,,O,FALSE,TRUE,
A03,3,ADT,1,MSH,,O,FALSE,FALSE,
A03,3,ADT,2,EVN,,O,FALSE,FALSE,
A03,3,ADT,3,PID,,O,FALSE,FALSE,
A03,3,ADT,5,PD1,,O,FALSE,TRUE,
A03,3,ADT,7,PV1,,O,FALSE,FALSE,
A03,3,ADT,9,PV2,,O,FALSE,TRUE,
A03,3,ADT,13,DB1,,O,TRUE,TRUE,
A03,3,ADT,18,DG1,,O,TRUE,TRUE,
A03,3,ADT,22,DRG,,O,FALSE,TRUE,
A03,3,ADT,24,[,PROCEDURE,O,FALSE,FALSE,
A03,3,ADT,25,{,,O,FALSE,FALSE,
A03,3,ADT,26,PR1,,O,FALSE,FALSE,
A03,3,ADT,29,ROL,,O,TRUE,TRUE,
A03,3,ADT,32,},,O,FALSE,FALSE,
A03,3,ADT,33,],PROCEDURE,O,FALSE,FALSE,
A03,3,ADT,36,OBX,,O,TRUE,TRUE,
A03,4,ACK,1,MSH,,O,FALSE,FALSE,
A03,4,ACK,2,MSA,,O,FALSE,FALSE,
A03,4,ACK,4,ERR,,O,FALSE,TRUE,
A03,4,ADT,1,MSH,,O,FALSE,FALSE,
A03,4,ADT,2,EVN,,O,FALSE,FALSE,
A03,4,ADT,3,PID,,O,FALSE,FALSE,
A03,4,ADT,5,PD1,,O,FALSE,TRUE,
A03,4,ADT,7,PV1,,O,FALSE,FALSE,
A03,4,ADT,9,PV2,,O,FALSE,TRUE,
A03,4,ADT,13,DB1,,O,TRUE,TRUE,
A03,4,ADT,18,DG1,,O,TRUE,TRUE,
A03,4,ADT,22,DRG,,O,FALSE,TRUE,
A03,4,ADT,24,[,PROCEDURE,O,FALSE,FALSE,
A03,4,ADT,25,{,,O,FALSE,FALSE,
A03,4,ADT,26,PR1,,O,FALSE,FALSE,
A03,4,ADT,29,ROL,,O,TRUE,TRUE,
A03,4,ADT,32,},,O,FALSE,FALSE,
A03,4,ADT,33,],,O,FALSE,FALSE,
A03,4,ADT,36,OBX,,O,TRUE,TRUE,
A04,1,ACK,1,MSH,,O,FALSE,FALSE,
A04,1,ACK,2,MSA,,O,FALSE,FALSE,
A04,1,ACK,4,ERR,,O,FALSE,TRUE,
A04,1,ADT,1,MSH,,O,FALSE,FALSE,
A04,1,ADT,2,EVN,,O,FALSE,FALSE,
A04,1,ADT,3,PID,,O,FALSE,FALSE,
A04,1,ADT,4,NK1,,O,FALSE,FALSE,
A04,1,ADT,5,PV1,,O,FALSE,FALSE,
A04,1,ADT,7,DG1,,O,FALSE,TRUE,
A04,2,ACK,1,MSH,,O,FALSE,FALSE,
A04,2,ACK,2,MSA,,O,FALSE,FALSE,
A04,2,ACK,4,ERR,,O,FALSE,TRUE,
A04,2,ADT,1,MSH,,O,FALSE,FALSE,
A04,2,ADT,2,EVN,,O,FALSE,FALSE,
A04,2,ADT,3,PID,,O,FALSE,FALSE,
A04,2,ADT,6,NK1,,O,TRUE,TRUE,
A04,2,ADT,9,PV1,,O,FALSE,FALSE,
A04,2,ADT,11,PV2,,O,FALSE,TRUE,
A04,2,ADT,15,OBX,,O,TRUE,TRUE,
A04,2,ADT,20,AL1,,O,TRUE,TRUE,
A04,2,ADT,29,DG1,,O,TRUE,TRUE,
A04,2,ADT,34,PR1,,O,TRUE,TRUE,
A04,2,ADT,39,GT1,,O,TRUE,TRUE,
A04,2,ADT,42,[,INSURANCE,O,FALSE,FALSE,
A04,2,ADT,43,{,,O,FALSE,FALSE,
A04,2,ADT,44,IN1,,O,FALSE,FALSE,
A04,2,ADT,46,IN2,,O,FALSE,TRUE,
A04,2,ADT,49,IN3,,O,FALSE,TRUE,
A04,2,ADT,51,},,O,FALSE,FALSE,
A04,2,ADT,52,],,O,FALSE,FALSE,
A04,2,ADT,54,ACC,,O,FALSE,TRUE,
A04,2,ADT,57,UB1,,O,FALSE,TRUE,
A04,2,ADT,60,UB2,,O,FALSE,TRUE,
A04,3,ACK,1,MSH,,O,FALSE,FALSE,
A04,3,ACK,2,MSA,,O,FALSE,FALSE,
A04,3,ACK,4,ERR,,O,FALSE,TRUE,
A04,3,ADT,1,MSH,,O,FALSE,FALSE,
A04,3,ADT,2,EVN,,O,FALSE,FALSE,
A04,3,ADT,3,PID,,O,FALSE,FALSE,
A04,3,ADT,5,PD1,,O,FALSE,TRUE,
A04,3,ADT,9,NK1,,O,TRUE,TRUE,
A04,3,ADT,12,PV1,,O,FALSE,FALSE,
A04,3,ADT,14,PV2,,O,FALSE,TRUE,
A04,3,ADT,18,DB1,,O,TRUE,TRUE,
A04,3,ADT,23,OBX,,O,TRUE,TRUE,
A04,3,ADT,28,AL1,,O,TRUE,TRUE,
A04,3,ADT,33,DG1,,O,TRUE,TRUE,
A04,3,ADT,37,DRG,,O,FALSE,TRUE,
A04,3,ADT,39,[,PROCEDURE,O,FALSE,FALSE,
A04,3,ADT,40,{,,O,FALSE,FALSE,
A04,3,ADT,41,PR1,,O,FALSE,FALSE,
A04,3,ADT,44,ROL,,O,TRUE,TRUE,
A04,3,ADT,47,},,O,FALSE,FALSE,
A04,3,ADT,48,],PROCEDURE,O,FALSE,FALSE,
A04,3,ADT,51,GT1,,O,TRUE,TRUE,
A04,3,ADT,54,[,INSURANCE,O,FALSE,FALSE,
A04,3,ADT,55,{,,O,FALSE,FALSE,
A04,3,ADT,56,IN1,,O,FALSE,FALSE,
A04,3,ADT,58,IN2,,O,FALSE,TRUE,
A04,3,ADT,61,IN3,,O,FALSE,TRUE,
A04,3,ADT,63,},,O,FALSE,FALSE,
A04,3,ADT,64,],INSURANCE,O,FALSE,FALSE,
A04,3,ADT,66,ACC,,O,FALSE,TRUE,
A04,3,ADT,69,UB1,,O,FALSE,TRUE,
A04,3,ADT,72,UB2,,O,FALSE,TRUE,
A04,4,ACK,1,MSH,,O,FALSE,FALSE,
A04,4,ACK,2,MSA,,O,FALSE,FALSE,
A04,4,ACK,4,ERR,,O,FALSE,TRUE,
A04,4,ADT,1,MSH,,O,FALSE,FALSE,
A04,4,ADT,2,EVN,,O,FALSE,FALSE,
A04,4,ADT,3,PID,,O,FALSE,FALSE,
A04,4,ADT,5,PD1,,O,FALSE,TRUE,
A04,4,ADT,9,NK1,,O,TRUE,TRUE,
A04,4,ADT,12,PV1,,O,FALSE,FALSE,
A04,4,ADT,14,PV2,,O,FALSE,TRUE,
A04,4,ADT,18,DB1,,O,TRUE,TRUE,
A04,4,ADT,23,OBX,,O,TRUE,TRUE,
A04,4,ADT,28,AL1,,O,TRUE,TRUE,
A04,4,ADT,33,DG1,,O,TRUE,TRUE,
A04,4,ADT,37,DRG,,O,FALSE,TRUE,
A04,4,ADT,39,[,PROCEDURE,O,FALSE,FALSE,
A04,4,ADT,40,{,,O,FALSE,FALSE,
A04,4,ADT,41,PR1,,O,FALSE,FALSE,
A04,4,ADT,44,ROL,,O,TRUE,TRUE,
A04,4,ADT,47,},,O,FALSE,FALSE,
A04,4,ADT,48,],PROCEDURE,O,FALSE,FALSE,
A04,4,ADT,51,GT1,,O,TRUE,TRUE,
A04,4,ADT,54,[,INSURANCE,O,FALSE,FALSE,
A04,4,ADT,55,{,,O,FALSE,FALSE,
A04,4,ADT,56,IN1,,O,FALSE,FALSE,
A04,4,ADT,58,IN2,,O,FALSE,TRUE,
A04,4,ADT,62,IN3,,O,TRUE,TRUE,
A04,4,ADT,65,},,O,FALSE,FALSE,
A04,4,ADT,66,],INSURANCE,O,FALSE,FALSE,
A04,4,ADT,68,ACC,,O,FALSE,TRUE,
A04,4,ADT,71,UB1,,O,FALSE,TRUE,
A04,4,ADT,74,UB2,,O,FALSE,TRUE,
A05,1,ACK,1,MSH,,O,FALSE,FALSE,
A05,1,ACK,2,MSA,,O,FALSE,FALSE,
A05,1,ACK,4,ERR,,O,FALSE,TRUE,
A05,1,ADT,1,MSH,,O,FALSE,FALSE,
A05,1,ADT,2,EVN,,O,FALSE,FALSE,
A05,1,ADT,3,PID,,O,FALSE,FALSE,
A05,1,ADT,4,NK1,,O,FALSE,FALSE,
A05,1,ADT,5,PV1,,O,FALSE,FALSE,
A05,1,ADT,7,DG1,,O,FALSE,TRUE,
A05,2,ACK,1,MSH,,O,FALSE,FALSE,
A05,2,ACK,2,MSA,,O,FALSE,FALSE,
A05,2,ACK,4,ERR,,O,FALSE,TRUE,
A05,2,ADT,1,MSH,,O,FALSE,FALSE,
A05,2,ADT,2,EVN,,O,FALSE,FALSE,
A05,2,ADT,3,PID,,O,FALSE,FALSE,
A05,2,ADT,6,NK1,,O,TRUE,TRUE,
A05,2,ADT,9,PV1,,O,FALSE,FALSE,
A05,2,ADT,11,PV2,,O,FALSE,TRUE,
A05,2,ADT,15,OBX,,O,TRUE,TRUE,
A05,2,ADT,20,AL1,,O,TRUE,TRUE,
A05,2,ADT,25,DG1,,O,TRUE,TRUE,
A05,2,ADT,30,PR1,,O,TRUE,TRUE,
A05,2,ADT,35,GT1,,O,TRUE,TRUE,
A05,2,ADT,38,[,INSURANCE,O,FALSE,FALSE,
A05,2,ADT,39,{,,O,FALSE,FALSE,
A05,2,ADT,40,IN1,,O,FALSE,FALSE,
A05,2,ADT,42,IN2,,O,FALSE,TRUE,
A05,2,ADT,45,IN3,,O,FALSE,TRUE,
A05,2,ADT,47,},,O,FALSE,FALSE,
A05,2,ADT,48,],,O,FALSE,FALSE,
A05,2,ADT,50,ACC,,O,FALSE,TRUE,
A05,2,ADT,53,UB1,,O,FALSE,TRUE,
A05,2,ADT,56,UB2,,O,FALSE,TRUE,
A05,3,ACK,1,MSH,,O,FALSE,FALSE,
A05,3,ACK,2,MSA,,O,FALSE,FALSE,
A05,3,ACK,4,ERR,,O,FALSE,TRUE,
A05,3,ADT,1,MSH,,O,FALSE,FALSE,
A05,3,ADT,2,EVN,,O,FALSE,FALSE,
A05,3,ADT,3,PID,,O,FALSE,FALSE,
A05,3,ADT,5,PD1,,O,FALSE,TRUE,
A05,3,ADT,9,NK1,,O,TRUE,TRUE,
A05,3,ADT,12,PV1,,O,FALSE,FALSE,
A05,3,ADT,14,PV2,,O,FALSE,TRUE,
A05,3,ADT,18,DB1,,O,TRUE,TRUE,
A05,3,ADT,23,OBX,,O,TRUE,TRUE,
A05,3,ADT,28,AL1,,O,TRUE,TRUE,
A05,3,ADT,33,DG1,,O,TRUE,TRUE,
A05,3,ADT,37,DRG,,O,FALSE,TRUE,
A05,3,ADT,39,[,PROCEDURE,O,FALSE,FALSE,
A05,3,ADT,40,{,,O,FALSE,FALSE,
A05,3,ADT,41,PR1,,O,FALSE,FALSE,
A05,3,ADT,44,ROL,,O,TRUE,TRUE,
A05,3,ADT,47,},,O,FALSE,FALSE,
A05,3,ADT,48,],PROCEDURE,O,FALSE,FALSE,
A05,3,ADT,51,GT1,,O,TRUE,TRUE,
A05,3,ADT,54,[,INSURANCE,O,FALSE,FALSE,
A05,3,ADT,55,{,,O,FALSE,FALSE,
A05,3,ADT,56,IN1,,O,FALSE,FALSE,
A05,3,ADT,58,IN2,,O,FALSE,TRUE,
A05,3,ADT,61,IN3,,O,FALSE,TRUE,
A05,3,ADT,63,},,O,FALSE,FALSE,
A05,3,ADT,64,],INSURANCE,O,FALSE,FALSE,
A05,3,ADT,66,ACC,,O,FALSE,TRUE,
A05,3,ADT,69,UB1,,O,FALSE,TRUE,
A05,3,ADT,72,UB2,,O,FALSE,TRUE,
A05,4,ACK,1,MSH,,O,FALSE,FALSE,
A05,4,ACK,2,MSA,,O,FALSE,FALSE,
A05,4,ACK,4,ERR,,O,FALSE,TRUE,
A05,4,ADT,1,MSH,,O,FALSE,FALSE,
A05,4,ADT,2,EVN,,O,FALSE,FALSE,
A05,4,ADT,3,PID,,O,FALSE,FALSE,
A05,4,ADT,5,PD1,,O,FALSE,TRUE,
A05,4,ADT,9,NK1,,O,TRUE,TRUE,
A05,4,ADT,12,PV1,,O,FALSE,FALSE,
A05,4,ADT,14,PV2,,O,FALSE,TRUE,
A05,4,ADT,18,DB1,,O,TRUE,TRUE,
A05,4,ADT,23,OBX,,O,TRUE,TRUE,
A05,4,ADT,28,AL1,,O,TRUE,TRUE,
A05,4,ADT,33,DG1,,O,TRUE,TRUE,
A05,4,ADT,37,DRG,,O,FALSE,TRUE,
A05,4,ADT,39,[,PROCEDURE,O,FALSE,FALSE,
A05,4,ADT,40,{,,O,FALSE,FALSE,
A05,4,ADT,41,PR1,,O,FALSE,FALSE,
A05,4,ADT,44,ROL,,O,TRUE,TRUE,
A05,4,ADT,47,},,O,FALSE,FALSE,
A05,4,ADT,48,],,O,FALSE,FALSE,
A05,4,ADT,51,GT1,,O,TRUE,TRUE,
A05,4,ADT,54,[,INSURANCE,O,FALSE,FALSE,
A05,4,ADT,55,{,,O,FALSE,FALSE,
A05,4,ADT,56,IN1,,O,FALSE,FALSE,
A05,4,ADT,58,IN2,,O,FALSE,TRUE,
A05,4,ADT,62,IN3,,O,TRUE,TRUE,
A05,4,ADT,65,},,O,FALSE,FALSE,
A05,4,ADT,66,],,O,FALSE,FALSE,
A05,4,ADT,68,ACC,,O,FALSE,TRUE,
A05,4,ADT,71,UB1,,O,FALSE,TRUE,
A05,4,ADT,74,UB2,,O,FALSE,TRUE,
A06,1,ACK,1,MSH,,O,FALSE,FALSE,
A06,1,ACK,2,MSA,,O,FALSE,FALSE,
A06,1,ACK,4,ERR,,O,FALSE,TRUE,
A06,1,ADT,1,MSH,,O,FALSE,FALSE,
A06,1,ADT,2,EVN,,O,FALSE,FALSE,
A06,1,ADT,3,PID,,O,FALSE,FALSE,
A06,1,ADT,4,PV1,,O,FALSE,FALSE,
A06,2,ACK,1,MSH,,O,FALSE,FALSE,
A06,2,ACK,2,MSA,,O,FALSE,FALSE,
A06,2,ACK,4,ERR,,O,FALSE,TRUE,
A06,2,ADT,1,MSH,,O,FALSE,FALSE,
A06,2,ADT,2,EVN,,O,FALSE,FALSE,
A06,2,ADT,3,PID,,O,FALSE,FALSE,
A06,2,ADT,5,MRG,,O,FALSE,TRUE,
A06,2,ADT,9,NK1,,O,TRUE,TRUE,
A06,2,ADT,12,PV1,,O,FALSE,FALSE,
A06,2,ADT,14,PV2,,O,FALSE,TRUE,
A06,2,ADT,18,OBX,,O,TRUE,TRUE,
A06,2,ADT,23,AL1,,O,TRUE,TRUE,
A06,2,ADT,28,DG1,,O,TRUE,TRUE,
A06,2,ADT,33,PR1,,O,TRUE,TRUE,
A06,2,ADT,38,GT1,,O,TRUE,TRUE,
A06,2,ADT,41,[,INSURANCE,O,FALSE,FALSE,
A06,2,ADT,42,{,,O,FALSE,FALSE,
A06,2,ADT,43,IN1,,O,FALSE,FALSE,
A06,2,ADT,45,IN2,,O,FALSE,TRUE,
A06,2,ADT,48,IN3,,O,FALSE,TRUE,
A06,2,ADT,50,},,O,FALSE,FALSE,
A06,2,ADT,51,],,O,FALSE,FALSE,
A06,2,ADT,53,ACC,,O,FALSE,TRUE,
A06,2,ADT,56,UB1,,O,FALSE,TRUE,
A06,2,ADT,59,UB2,,O,FALSE,TRUE,
A06,3,ACK,1,MSH,,O,FALSE,FALSE,
A06,3,ACK,2,MSA,,O,FALSE,FALSE,
A06,3,ACK,4,ERR,,O,FALSE,TRUE,
A06,3,ADT,1,MSH,,O,FALSE,FALSE,
A06,3,ADT,2,EVN,,O,FALSE,FALSE,
A06,3,ADT,3,PID,,O,FALSE,FALSE,
A06,3,ADT,5,PD1,,O,FALSE,TRUE,
A06,3,ADT,8,MRG,,O,FALSE,TRUE,
A06,3,ADT,12,NK1,,O,TRUE,TRUE,
A06,3,ADT,15,PV1,,O,FALSE,FALSE,
A06,3,ADT,17,PV2,,O,FALSE,TRUE,
A06,3,ADT,21,DB1,,O,TRUE,TRUE,
A06,3,ADT,25,DRG,,O,FALSE,TRUE,
A06,3,ADT,29,OBX,,O,TRUE,TRUE,
A06,3,ADT,34,AL1,,O,TRUE,TRUE,
A06,3,ADT,39,DG1,,O,TRUE,TRUE,
A06,3,ADT,43,DRG,,O,FALSE,TRUE,
A06,3,ADT,45,[,PROCEDURE,O,FALSE,FALSE,
A06,3,ADT,46,{,,O,FALSE,FALSE,
A06,3,ADT,47,PR1,,O,FALSE,FALSE,
A06,3,ADT,50,ROL,,O,TRUE,TRUE,
A06,3,ADT,53,},,O,FALSE,FALSE,
A06,3,ADT,54,],PROCEDURE,O,FALSE,FALSE,
A06,3,ADT,57,GT1,,O,TRUE,TRUE,
A06,3,ADT,60,[,INSURANCE,O,FALSE,FALSE,
A06,3,ADT,61,{,,O,FALSE,FALSE,
A06,3,ADT,62,IN1,,O,FALSE,FALSE,
A06,3,ADT,64,IN2,,O,FALSE,TRUE,
A06,3,ADT,67,IN3,,O,FALSE,TRUE,
A06,3,ADT,69,},,O,FALSE,FALSE,
A06,3,ADT,70,],INSURANCE,O,FALSE,FALSE,
A06,3,ADT,72,ACC,,O,FALSE,TRUE,
A06,3,ADT,75,UB1,,O,FALSE,TRUE,
A06,3,ADT,78,UB2,,O,FALSE,TRUE,
A06,4,ACK,1,MSH,,O,FALSE,FALSE,
A06,4,ACK,2,MSA,,O,FALSE,FALSE,
A06,4,ACK,4,ERR,,O,FALSE,TRUE,
A06,4,ADT,1,MSH,,O,FALSE,FALSE,
A06,4,ADT,2,EVN,,O,FALSE,FALSE,
A06,4,ADT,3,PID,,O,FALSE,FALSE,
A06,4,ADT,5,PD1,,O,FALSE,TRUE,
A06,4,ADT,8,MRG,,O,FALSE,TRUE,
A06,4,ADT,12,NK1,,O,TRUE,TRUE,
A06,4,ADT,15,PV1,,O,FALSE,FALSE,
